Company Name,Title,Location,qualification,Job Type
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
Proficed,Female Fashion Model,"Bengaluru, Karnataka",,NA
Mindclick technologies,Customer Support Executive (CSE),"Bengaluru, Karnataka","Banking,Go,Customer support,Bachelor's degree,12th Pass",NA
I Learn Future,Career Counselor,"Bengaluru, Karnataka","Direct sales,Customer service,Sales,Communication skills,Inside sales,Bachelor's degree",NA
E-Construct Design and Build Pvt. Ltd,Full-Time Receptionist,"Bengaluru, Karnataka","Communication skills,Customer service,Data entry,Microsoft Office,12th Pass",NA
Glance,SDE I - UI,"Bengaluru, Karnataka","Unit testing,React,TypeScript,CSS,Selenium,B.Sc,Bachelor's degree",NA
DigiCert,Front Office Executive,"Bengaluru, Karnataka",Encryption,NA
Defa Lighting Solutions,Quantity Surveyor,"Bengaluru, Karnataka","Procurement,Purchasing",NA
Hexagon Geosystems,2737BR,"Bengaluru, Karnataka","MicroStation,Agile,AutoCAD,Quality control,GIS,Bachelor's degree,Diploma",NA
Capgemini,Batch Job Control - M,"Bengaluru, Karnataka","UNIX,Communication skills,Windows,Shell Scripting,Control-M",NA
Accenture,Finance Process & Ops Associate-Record To Report,"Bengaluru, Karnataka","Balance sheet reconciliation,Analytics,SAP,General ledger accounting,Bachelor's degree",NA
Conceptia Software Technologies,Tele Caller Executive,"Bengaluru, Karnataka","Sales,ERP systems,SolidWorks,Field sales,CAD,12th Pass",NA
Brilfox,Cashier,"Bengaluru, Karnataka",,NA
valueleaf services India pvt ltd.,Customer Support Executive (CX),"Bengaluru, Karnataka","CRM software,Customer support,Communication skills,Help desk,Bachelor's degree",NA
NAKSHATRI DEVELPERS,Real Estate Sales Agent,"Bengaluru, Karnataka",,NA
Capgemini,Backup Operation - Netbackup,"Bengaluru, Karnataka",,NA
Code Trappers,Telesales Fresher,"Kormangala, Karnataka","Customer service,Telemarketing,Sales,Communication skills,Organizational skills,12th Pass",NA
Global Indian International School,PGT Accountancy,"Bengaluru, Karnataka",Bachelor's degree,NA
LSEG (London Stock Exchange Group),Associate,"Bengaluru, Karnataka","Project management,Microsoft Excel,Tableau,Alteryx,Accounts payable,B.Sc,Bachelor's degree",NA
Focus integrated Solutions,B2B Sales Executive,"Bengaluru, Karnataka","Lead generation,Sales,Business development,Bachelor's degree",NA
Capgemini,Network Resolution,"Bengaluru, Karnataka","MPLS,Communication skills,Routing protocols,Juniper,Performance management",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
Knowledgehut,Admission Counselor,"Bengaluru, Karnataka",Master's degree,NA
MY-TA,Company Secretary,"JP NAGAR 2ND PHASE, Karnataka","Master's degree,M.C.A.",NA
Chrysalis Kids Whitefield,Front Office Executive cum Admin,"Bengaluru, Karnataka",,NA
Innovary Technologies,Digital Marketing Executive,"J. P. Nagar, Bengaluru, Karnataka","WordPress,Google AdWords,Digital marketing",NA
Stemkit Education,YouTube Content Editor (Work from office Bangalore),"Bengaluru, Karnataka",Video editing,NA
Creencia Technologies Private Limited,Customer Care Executive,"Bengaluru, Karnataka","CRM software,Technical support,Customer support,Communication skills,Customer service,12th Pass",NA
Zolostays Property Solutions,Customer Support Associate,"Bengaluru, Karnataka","Leadership,Communication skills,Agile,Mentoring,Bachelor's degree",NA
Mercedes-Benz Research and Development India Private Limited,SW Quality (QSV) - CDCC (edb),"Bengaluru, Karnataka","Software deployment,ISO 9001,Analysis skills,Embedded software,Product development,Bachelor's degree,Master's degree",NA
1Help Technology and Software Solutions,Field Marketing Representative,"Bengaluru, Karnataka",Bachelor's degree,NA
Seigneur hospitality private limited,Front Counter Crew Member,"Bengaluru, Karnataka",Communication skills,NA
Labcorp,Sample Handling Asst I,"Bengaluru, Karnataka","Communication skills,Computer literacy,Document management systems,Data entry,Organizational skills,Bachelor's degree",NA
The Balance Sheet,Trainee Journalist,"Bengaluru, Karnataka",Bachelor's degree,NA
Decathlon,FINANCE BUSINESS PARTNER - IT,"Bengaluru, Karnataka","Project management,Communication skills,Customer service,Microsoft Excel,Master's degree,M.B.A.",NA
Hirecentrix Services LLP,Customer Service Representative,"Bengaluru, Karnataka","Customer service,Bachelor's degree,12th Pass",NA
JAIN UNIVERSITY,Social Media Executive,"Bengaluru, Karnataka","Social media strategy,Marketing,Bachelor's degree",NA
FloBiz,Executive Assistant,"Bengaluru, Karnataka","Customer support,Communication skills,Computer skills,Time management,Microsoft Powerpoint,Master's degree",NA
ADCI - Karnataka,Transaction Risk Investigator,"Bengaluru, Karnataka","Analysis skills,Fraud prevention and detection,Quality assurance,Communication skills,Time management",NA
PyjamaHR,Retail Sales Executive,"Bengaluru, Karnataka","Word processing,Customer service,Negotiation,Computer skills,Sales,Bachelor's degree",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
VictaMan Services Private Limited,Customer Service Associate Bank Process,"Bengaluru, Karnataka",12th Pass,NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
ST PAULS COLLEGE,Assistant Professor,"Bengaluru, Karnataka","Master's degree,Doctoral degree",NA
Terraeagle Technologies Pvt Ltd,IT Administrator,"Bengaluru, Karnataka","Analysis skills,System security,Oracle,Time management,Bachelor's degree",NA
Flipkart,Executive - Finance Operations,"Bengaluru, Karnataka","SQL,Microsoft Dynamics Navision",NA
Volt Money,Office Administrator,"Bengaluru, Karnataka","Office experience,Inventory control,Communication skills,Microsoft Office,12th Pass",NA
Codvo.ai,Inside Sales Representative,"Bengaluru, Karnataka","SQL,Sales,Product management,Scrum,Market research,Bachelor's degree",NA
Dolphin die cast pvt ltd,Store Assistant,"Bengaluru, Karnataka","Computer skills,Tally",NA
Hashmap,Helpdesk Associate,"Bengaluru, Karnataka","Software troubleshooting,Communication skills,Windows,Microsoft Office,Bachelor's degree",NA
Bahuroopi-cfm,Social Media Executive,"Bengaluru, Karnataka",,NA
People2pay Management,Executive Assistant (3 to 5 years of work experience),"Bengaluru, Karnataka","Office management,Personal assistant experience,Bachelor's degree",NA
Ought Right,Junior Graphic Designer,"Koramangala, Bengaluru, Karnataka","Adobe Photoshop,Adobe After Effects,Graphic design,2D animation,Adobe Illustrator,Bachelor's degree",NA
Capgemini,HYPERION FCCS | 6 TO 12 YEARS | PAN INDIA,"Bengaluru, Karnataka","Software deployment,Communication skills,Oracle,Hyperion",NA
Quess Corp Limited,Kitchen Steward,"Bengaluru, Karnataka",,NA
Aadhya Healthcare Private Limited,Digital Marketing Executive,"Bengaluru, Karnataka","Communication skills,Digital marketing,Video editing,Bachelor's degree",NA
"DigiCert, Inc.",Front Office Executive,"Bengaluru, Karnataka",Encryption,NA
Aadhaan Solutions,Data Entry Operator (DEO),"Bengaluru, Karnataka","Data entry,Typing,Microsoft Office,Bachelor's degree",NA
TEFT,Social Media Marketing Executive,"Bengaluru, Karnataka","Digital marketing,Bachelor's degree",NA
Human Capital,Inside Sales Representative - Education Sector,"Bengaluru, Karnataka","Direct sales,Communication skills,Sales",NA
Formosa Synthetics Pvt Ltd,Sales Executive,"Bengaluru, Karnataka","Business development,Bachelor's degree",NA
Newton School,Junior Admin Executive,"Bengaluru, Karnataka","Employee orientation,Communication skills,Microsoft Office",NA
BNB HOSPITALITY SERVICES PVT LTD,Front Office executive,"Bengaluru, Karnataka","Hotel management,Hotel experience,Guest relations,Bachelor's degree",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Absolute Sports Private Limited,Social Media Executive,India,,NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
DG LUXURY LIFE STYLE,"Pattern Master (Knits,Woven)","Bengaluru, Karnataka",CAD,NA
Teva Pharmaceuticals,Network Ctrl/Admin Professional III,"Bengaluru, Karnataka","OSPF,BGP,CCNP,WAN,MPLS,Bachelor's degree",NA
Xperteez Technology Pvt. Ltd,sales executive,"Bengaluru, Karnataka","Sales,Insurance sales,Communication skills,Field sales,Bachelor's degree",NA
Absolute Sports Private Limited,WWE Editor,India,,NA
Relit Healthcare,Required Staff Nurse in UK,"Bengaluru, Karnataka","Nursing,Bachelor's degree",NA
Code Trappers,Telly Sales Fresher,"Kormangala, Karnataka","Customer service,Telemarketing,Sales,Communication skills,Organizational skills,12th Pass",NA
BOEING,Experienced Talent Acquisition Advisor,"Bengaluru, Karnataka","Customer service,Recruiting,Microsoft Powerpoint,HR sourcing,Microsoft Outlook,Bachelor's degree,Master's degree",NA
Sun Share Energy,Solar Project Coordinator,"Bengaluru, Karnataka","Microsoft Excel,Negotiation,Computer skills,Microsoft Powerpoint,Procurement,M.Sc,Master's degree",NA
Jobsin360,Collection Executive,"Bengaluru, Karnataka",12th Pass,NA
Monikaalcobev ltd,Quality Control Officer,"Bengaluru, Karnataka","Communication skills,Data management,Time management,Microsoft Office,Master's degree",NA
Soft Designers,Digital Marketing Trainee,"Bengaluru, Karnataka","Keyword research,Digital marketing,Bachelor's degree",NA
Mindclick,Land Acquisition,"Bengaluru, Karnataka","Communication skills,Bachelor's degree,Master's degree",NA
Brandshark,Graphic Designer,"Bengaluru, Karnataka","Communication skills,Graphic design,Visual design,Customer relationship management,Organizational skills",NA
ESTILOCUS,Operation Executive,"Bengaluru, Karnataka",,NA
Wroots global private limited,International voice process,"Bengaluru, Karnataka","Bachelor's degree,Master's degree",NA
Freshmenu,Dispatcher,"Bengaluru, Karnataka",,NA
PATHCOM,BDE (Internet Leased Line),"Bengaluru, Karnataka","Sales,Communication skills,B2B sales,Bachelor's degree",NA
AMBC,Corporate Interiors OR Office Interior designers,"Richmond Town, Bengaluru, Karnataka",,NA
Woke Nutrition Pvt Ltd,Field Executive,"Bengaluru, Karnataka","Customer service,Sales,Communication skills,Mobile devices,Microsoft Office,Bachelor's degree,12th Pass",NA
