Company Name,Title,Location,qualification,Job Type
LOGITRADE BPO SOLUTIONS PVT LTD,Backend / Data Entry Executive (USA/CANADIAN SHIFTS),"Mohali, Punjab","Microsoft Excel,Microsoft Outlook,Data entry,Bachelor's degree,Diploma",Full-time
Brampton Immigration Consultancy,Study Visa Counsellor,"Mohali, Punjab",Bachelor's degree,Full-time
Nureca Dr. Trust,GST Executive,"Chandigarh, Chandigarh","Analysis skills,Tax experience,Microsoft Excel,Accounting software,Microsoft Office,Bachelor's degree",Full-time
AVONAIRE SOLUTIONS,AutoCAD Draughtsman/woman,"Mohali, Punjab",AutoCAD,Full-time
DNA Growth,Data Entry Operator,"Mohali, Punjab","Operating systems,Microsoft Excel,Communication skills,Statistics,Math,Bachelor's degree",Full-time
TOUR D WORLD,Visa Filing Officer,"Chandigarh, Chandigarh",,Full-time
Greenwaves Immigration,filling executive for Australia,"Chandigarh, Chandigarh",,Full-time
NBHEALTHCARE,Graphic Designer (COREL DRAW),"Mohali, Punjab","Human resources,CorelDraw",Full-time
vision consultancy,Relationship Executive,"Chandigarh, Chandigarh","Communication skills,Typing,12th Pass",Part-time | New-Grad
Dazonn Technologies Private Limited,Customer Care Executive (Fresher) (Panchkula) (English Compulsory),"Zirakpur, Punjab","Communication skills,Customer service,Computer skills,Bachelor's degree,12th Pass",Full-time
P.P. Jewellers,Public Relations Executive,"Chandigarh, Chandigarh",Bachelor's degree,Full-time
HIFI AV World,Inside Sales Executive,"Chandigarh, Chandigarh","Sales,Go,Communication skills,Field sales,Inside sales,Bachelor's degree",Full-time
Kalp Solutions,Customer Care Executive (CCE),"Mohali, Punjab","Customer service,Communication skills,Bachelor's degree,12th Pass",Full-time | New-Grad
DEFINE OVERSEAS IMMIGRATION,IELTS Trainer,"Kharar, Punjab","Microsoft Excel,Teaching experience,Microsoft Powerpoint,Microsoft Office,Microsoft Word",Full-time
SPI REGAL PIPES,Accounts Assistant,"Kurali, Punjab","Accounting,Bachelor's degree",Full-time | New-Grad
SKYBIRD INTERNATIONAL,Experienced Female Tele Caller,"Mohali, Punjab",,Full-time
Ikarus 3D,Networking and Operations Executive,"Mohali, Punjab","Analysis skills,Network infrastructure,IDS,Network monitoring,Procurement",Full-time | New-Grad
The Sky World School,English Teacher PRT & TGT,"Panchkula, Haryana","Communication skills,Bachelor's degree,12th Pass,Master's degree",Full-time
VATAVE HEALTHCARE,Pharma PCD & Third Party Manufacturing Executive,"Panchkula, Haryana","Manufacturing,Lead generation,Marketing,Bachelor's degree",Full-time
GyanDhan,Education Loan Counselor,"Chandigarh, Chandigarh",Analysis skills,Full-time
BS Makar Advocates & Solicitors Law Firm,Office Assistant,"Mohali, Punjab","Communication skills,Bachelor's degree",Full-time
Grace Locks Limited,Sales Coordinator / Office Coordinator (Female Preferred),"Chandigarh, Chandigarh",Communication skills,Full-time
Hillsage Technologies Private Limited,Web designer (1+ year experience),"Mohali, Punjab","CSS,Windows,jQuery,Bootstrap,Mobile applications,Bachelor's degree",Full-time
Beautex industries,Customer Service Assistant,"Mohali, Punjab","Customer service,Customer support,Communication skills,Typing,Bachelor's degree",Full-time
Frontier Agrotech Private Limited,Sales Operations Associate,"Mohali, Punjab",,Full-time
Grace Locks Limited,Interior Designer / Architectural Assistantship / Architect / Kitchen Desig,"Chandigarh, Chandigarh",2D animation,Full-time
MITS HEALTHCARE PRIVATE LIMITED,Graphic Designer,"Panchkula, Haryana","Adobe Photoshop,Adobe Illustrator",Full-time
"SGHS Superspeciality Hospital, Sohana",Counselor,"Mohali, Punjab",Bachelor's degree,Full-time
UNIMARCK PHARMA INDIA LTD,E-Commerce Executive,"Mohali, Punjab","Communication skills,P&L Management,E-Commerce",Full-time
Leom International,Medical scribe,"Mohali, Punjab",,Full-time
Arch Recruiters,Front Desk Executive,"Mohali, Punjab","Communication skills,Customer service,Computer skills,Time management,Microsoft Office,Bachelor's degree",Full-time
XenonStack,Data Miner,"Mohali, Punjab","Analysis skills,Communication skills,Microsoft Excel,Databases,Data mining,Bachelor's degree",NA
IDS-Argus Healthcare Services,Medical Billing Associates,"Mohali, Punjab","Analysis skills,Data entry,Typing",New-Grad
Om Divine Developers & Infrastructures Pvt. Ltd.,Office Coordinator,"Mohali, Punjab","Communication skills,Microsoft Excel,Computer skills,Microsoft Office,Microsoft Word,Master's degree",Full-time
SDD Infotech Private Limited,Dispatcher,"Mohali, Punjab","Communication skills,Negotiation",Full-time
Algoson Software,Real Estate - Sales and Support,"Mohali, Punjab",Sales,Full-time
"Chandigarh Group Of Colleges,Jhanjeri",Assistant Professor/ Associate Professor - CGC Jhanjeri,"Mohali, Punjab","Bachelor's degree,Master's degree,M.C.A.,M.B.A.",Full-time
NANUAN'S,Office Assistant,"Mohali, Punjab","Word processing,Filing,Microsoft Office,12th Pass",Full-time
Scorpsoft,Night Shift | Excellent English required,"Zirakpur, Punjab",Mobile applications,Full-time
IDP Education Ltd,study visa counsellor,"Mohali, Punjab",Bachelor's degree,Full-time
Matrid Technologies,Free Internship with Placement,"Mohali, Punjab","Software troubleshooting,Analysis skills,Communication skills,SQL,Databases",Full-time
Brand Clever.in,Dispatcher,"Mohali, Punjab",Logistics,Full-time
intelliworx consulting,Back office executive,"Dera Bassi, Punjab","Communication skills,Microsoft Office,12th Pass",Full-time
Behgal Hospital,Front Desk Receptionist,"Mohali, Punjab",,Full-time
seasec pvt ltd,Fresher- IT Trainer,"Mohali, Punjab","React,Laravel,Node.js,MySQL,PHP,B.Sc,Bachelor's degree",Full-time | New-Grad
Baba Shri Chand Ji Enterprises,US Chat Process,"Mohali, Punjab","Communication skills,Bachelor's degree",Full-time
Teleperformance,Customer support executive,"Mohali, Punjab","Communication skills,Computer skills,Talent acquisition,Bachelor's degree",Full-time
NapCloud India Pvt. Ltd.,Customer Service Associate,"Mohali, Punjab","Project management,Customer service,Bachelor's degree",Full-time
B9 Solution,PPC Executive,"Mohali, Punjab","Google Ads,Bachelor's degree",Full-time
J LION 4 GROUP SECURITY PUNJAB,Security Guard,"Mohali, Punjab",Security,Full-time
hash tag solution,Bike rider,"Chandigarh, Chandigarh",Driving,Full-time | Part-time | New-Grad
Bridging Technologies,Customer Service Representative,"Mohali, Punjab","Customer service,Computer skills,Product development,Customer support,Communication skills,Bachelor's degree,12th Pass",Full-time
Allegiant Realtors,Front Desk Executive ( Female Only),"Mohali, Punjab","Word processing,Communication skills,Hospitality",NA
sigma brokrage pvt ltd,Logistics Coordinator,"Mohali, Punjab","Communication skills,Freight,Negotiation,Bachelor's degree",Full-time
Sk traders,Helper packing,"Chandigarh, Chandigarh",,Full-time | Part-time | New-Grad
QualSights India Private Limited,Assistant Executive,"Chandigarh, Chandigarh","Computer skills,Microsoft Powerpoint,Microsoft Outlook,Communication skills,Time management,Bachelor's degree",Full-time
Nexus Consulting Solutions,Overseas counsellor,"Mohali, Punjab",Bachelor's degree,Full-time
Buzzclan India,Presales Executive,"Mohali, Punjab","Sales,Communication skills,B2B sales,B2B",Full-time
Paisso Technology Pvt Ltd,Banking Executive in Chandigarh,"Chandigarh, Chandigarh",Communication skills,New-Grad
JCBL GROUP,PPC Executive,"Mohali, Punjab","Google AdWords,Keyword research,Conversion optimization,Bachelor's degree",Full-time
JMS GROUP,HELPER FOR PACKING,"Zirakpur, Punjab",,Full-time | New-Grad
Qualever Products,Quality Inspector,"Dera Bassi, Punjab",,Full-time
HIND ADVISORY,Loan Advisor,"Mohali, Punjab",12th Pass,Part-time
Rockpecker.com,CNC Operator & Setter,"Mohali, Punjab","Manufacturing,Basic math,Mechanical knowledge,Lean manufacturing,Diploma",Full-time
BM CLOUD,Data Entry Operator/Computer Operator,"Zirakpur, Punjab","Communication skills,Data entry,Time management,Typing,Microsoft Office",Full-time | New-Grad
Vaasu infrastructure,Telecallers,"Kharar, Punjab","Technical support,12th Pass",Full-time | New-Grad
Rishi immigration,Bookkeeper,"Chandigarh, Chandigarh","QuickBooks,Bookkeeping,Microsoft Excel,Communication skills,Microsoft Word,Bachelor's degree",Full-time | New-Grad
SIGNORET HEALTHCARE,THIRD PARTY SALES EXECUTIVE,"Mohali, Punjab","Sales,Business development,Lead generation,12th Pass",Full-time
Gretis India Pvt Ltd,Food testing lab Executive,"Mohali, Punjab","Laboratory experience,Bachelor's degree",Full-time
Jeronone Technologies,IT Admin,"Mohali, Punjab",,Full-time
Mobile Programming India Private Limited,Office Admin,"Mohali, Punjab","Communication skills,Microsoft Office",Full-time
Spell communications,Real Estate Salesperson,"Mohali, Punjab",Sales,Full-time
Tech Mahindra Foundation,Executive- Administration,"Mohali, Punjab","Communication skills,Computer skills,Bachelor's degree",NA
Pritika Industries Limited,Quality Inspector,"Mohali, Punjab",Diploma,Full-time
Acronicks Technologies,Voice (Calling) Process,"Mohali, Punjab","Communication skills,Bachelor's degree",Full-time | New-Grad
WebAstral Infosystems,Hiring SEO Freshers,"Mohali, Punjab",Bachelor's degree,Full-time
Cadchem Laboratories,QC CHEMIST,"Mohali, Punjab","High-performance liquid chromatography,Bachelor's degree",Full-time
Career Creators Pvt.ltd,Documentation Executive (MALE FRESHERS ONLY),"Mohali, Punjab","Communication skills,Administrative experience",Full-time
Redefine Consulting Services,Interiors Sales Executive,"Mohali, Punjab","Sales,12th Pass",Full-time
Learning Routes Pvt Ltd,Content Writer,"Mohali, Punjab","Communication skills,SEO,Content marketing,Proofreading",Full-time
Rramp consultancy,Customer Care Executive,"Mohali, Punjab","Live chat,Communication skills,12th Pass",Full-time
SEABIRD INTERNATIONAL PVT LTD,Visa Filing Officer,"Mohali, Punjab",Bachelor's degree,Full-time
WillShall,SEO Expert,"Mohali, Punjab",Communication skills,Full-time
PPN Solutions Pvt Ltd,Urgent Hiring for Freshers ||EPM||,"Zirakpur, Punjab","SQL,HTML5,Java,Bachelor's degree",Full-time | New-Grad
CREED INFOTECH PRIVATE LIMITED,Freight Cordinator,"Mohali, Punjab",Communication skills,Full-time
Purple Unicorn Logistics,Freight Broker,"Mohali, Punjab","Negotiation,Communication skills,Freight,Time management,Microsoft Office,Bachelor's degree",Full-time
Future Finders,Receptionist,"Mohali, Punjab",Microsoft Office,Full-time
Colossus Ventures India,Customer Sales Representative,"Mohali, Punjab",12th Pass,Full-time
Networkkings IT Services Pvt. Ltd.,Content Writer - Freshers ( Salary upto 25k ),"Chandigarh, Chandigarh",Writing skills,Full-time | New-Grad
NapCloud India Pvt. Ltd.,Customer Service Representative,"Mohali, Punjab","Communication skills,Customer service,12th Pass",Full-time
Xornor Technologies,"Guest bloggers, Part time Content Writers, Freelancers","Mohali, Punjab",Business development,Part-time
SS SOFT SOLUTIONS PVT LTD,International inbound customer care,"Chandigarh, Chandigarh","Technical support,Customer service,12th Pass",Full-time
Talent Recruitment,Medical content Writer,"Mohali, Punjab","Writing skills,Creative writing,SEO,Time management,Organizational skills",Full-time
Gcdl,Amazon Warehouse Operative,"Chandigarh, Chandigarh",,Full-time | Part-time
Brampton Immigration Consultancy,Admission Support Executive,"Mohali, Punjab","Customer service,Recruiting,Internal audits,Bachelor's degree",Full-time
YT Money Productions Pvt Lmt,Sound Designer- You Tube channels,"Mohali, Punjab",Bachelor's degree,Full-time
Arogyam Ayurvedm,Receptionist/Office Assistant,"Mohali, Punjab","Analysis skills,Communication skills,Marketing,Microsoft Office",Full-time
GigSoft Pro,Web Intern,"Mohali, Punjab","Web development,Construction,Scripting,Web design",Full-time
SQUARE INSURANCE BROKERS PVT LTD,Sales Representative,"Mohali, Punjab","Sales,Cold calling",Full-time
CM Group,Relationship Officer,"Mohali, Punjab","Sales,Bachelor's degree,12th Pass",Full-time
Cuilsoft Pvt Ltd,Python (paid Training),"Mohali, Punjab","Flask,Django,Python",New-Grad
SEO DISCOVERY Private Limited,Online Bidder,"Mohali, Punjab",Digital marketing,Full-time
UCodeSoft Solutions Pvt Ltd,Content Writer,"Mohali, Punjab","Writing skills,SEO",Full-time
Jack & Jones,Sales Executive,"Chandigarh, Chandigarh",,Full-time
The Unicorn Tech,PPC Executive,"Mohali, Punjab","Google Ads,12th Pass",Full-time
THE BONS(The Beginning Of New Start),Receptionist job in Mohali,"Mohali, Punjab","Computer skills,Microsoft Office,12th Pass",Full-time | New-Grad
46 Tech,SEO freshers,"Mohali, Punjab","Digital marketing,Linkbuilding,Bachelor's degree",Full-time | New-Grad
Indicolight marketing Pvt.ltd,Urgent Hiring Customer support,"Chandigarh, Chandigarh","Customer service,Communication skills,Bachelor's degree,Master's degree",Full-time | New-Grad
PiunikaWeb.com (owned & operated by DeepSeaGem Technologies India),YouTube Video Producer,"Mohali, Punjab","Photo editing,Adobe Premiere,Adobe Photoshop,Communication skills,Video production,Bachelor's degree",Full-time
Netmente,Content Writer,"Mohali, Punjab","Writing skills,CSS,Content creation,SEO,Keyword research",Full-time
Eclerx,Us voice & chat process,"Chandigarh, Chandigarh","Communication skills,Typing,Bachelor's degree",Full-time | New-Grad
Actuacion Nutricion Pvt Ltd,Accounts Executive Immediate Joining,"Mohali, Punjab","Tally,Buffer,Bachelor's degree",Full-time
Spell communications,Product Expert,"Mohali, Punjab",,Full-time
Cadchem Laboratories,Plant Operator,"Mohali, Punjab",Analysis skills,Full-time
RIK Healthcare Solutions & Consultant LLP,Medical Transcriptionist/scribe,"Mohali, Punjab",,Full-time
Let's Lead Educational,Visa Counselor,"Mohali, Punjab",Bachelor's degree,Full-time
Aerosphere,Assistant Professor/ Associate Professor,"Mohali, Punjab","Bachelor's degree,Master's degree,M.B.A.,Doctoral degree",Full-time
WBO Solutions,Amazon Ads TL,"Mohali, Punjab","Communication skills,Keyword research,Bachelor's degree",Full-time
NANUAN'S,Front Office Executive (Receptionist),"Mohali, Punjab","Communication skills,Computer skills",Full-time
Canaccess Immigration,Coordinator – Visa & Documentation,"Mohali, Punjab",Bachelor's degree,Full-time
HDFC Bank,Virtual Care-Officer Customer Experience (OCE) - Mohali,"Mohali, Punjab","Communication skills,Sales,Banking,Bachelor's degree",Full-time
HDFC Bank,Retail Agri-KGC-Sales Officer - Mohali,"Mohali, Punjab","Microsoft Excel,Data management,Sales,Microsoft Powerpoint,Microsoft Office,Bachelor's degree",Full-time
Eco Paryavaran Consultants,Environment Trainee / Scientist,"Mohali, Punjab",,Full-time
Visa Prep,Visa Filing Officer,"Mohali, Punjab","Filing,Microsoft Office",Full-time
iTechnoLabs,Intern (PHP),"Mohali, Punjab","WordPress,iOS,CSS,Laravel,APIs",Internship
PRASHADAM handcrafted sweets Restaurant Sweets Bakery,Cashier,"Mani Majra, Chandigarh",12th Pass,Full-time
DIGIESTATE MARKETING AGENCY PVT. LTD.,Social Media Executive,"Mohali, Punjab","Social media management,Social media marketing,Digital marketing,Marketing,Bachelor's degree",Full-time
Cpex developers & promoters pvt ltd,Real Estate Salesperson,"Zirakpur, Punjab",Sales,Full-time
gopal international,Female Front Desk Receptionist,"Mohali, Punjab",,Full-time
"Rattan Professional Education College, Sohana, Mohali",Clerk cum Computer Operator,"Mohali, Punjab","Communication skills,Computer skills",Full-time
Esteplogic IT Solutions,Urgent Hiring For Fresher Online Bidder/ BDE,"Mohali, Punjab","Business development,Communication skills,B.B.A.,Bachelor's degree",Full-time | New-Grad
Maxxus,Front Desk Receptionist,"Zirakpur, Punjab","Communication skills,Bachelor's degree",Full-time
Pioneer Lazer Tech Co,Sales Associate,"Sahibzada Ajit Singh Nagar, Punjab","Communication skills,Bachelor's degree",Full-time | Temporary | Contract
Imli Couture,Counter sale,"Zirakpur, Punjab",Sales,Full-time
Turo Freight,USA Logistics Brokerage Agents,"Mohali, Punjab",Logistics,Full-time
Designing Solutions,Data Entry Operator II Female II Mohali,"Mohali, Punjab","Data entry,Bachelor's degree,12th Pass",Full-time
Vera Developers Pvt. Ltd,Junior Architect Required,"Zirakpur, Punjab","Sketchup,Microsoft Excel,Microsoft Powerpoint,Microsoft Outlook,Adobe Photoshop",Full-time
Redblink Technologies,Online Bidder,"Mohali, Punjab",Communication skills,Full-time
VCC LANDSCAPES PRIVATE LIMITED,Accounts Assistant,"Mohali, Punjab",,Full-time
BB Council,Visa Filing Officer,"Chandigarh, Chandigarh",,Full-time
Bluechip Gulf IT Services Pvt. Ltd.,Database Executive,"Mohali, Punjab",Data entry,Full-time | New-Grad
InfluxService,immigration Telecaller,"Mohali, Punjab",,Full-time | New-Grad
CM Solutionz,Web Designer,"Mohali, Punjab","Adobe Photoshop,WordPress,CSS,Adobe Illustrator,HTML5",Full-time
Sogrow,Content Creator,"Mohali, Punjab","Writing skills,Keyword research,Linkbuilding",Full-time | New-Grad
Sofster,Web Designer ( 2 - 4 years ) Part Time Basis,"Mohali, Punjab","Front-end development,CSS,Graphic design,Adobe Illustrator,SEO,Bachelor's degree",Full-time | Part-time
UVCareer,Customer Service Representative,"Chandigarh, Chandigarh","Customer service,Bachelor's degree",Full-time
Diamond Global Links,Delivery Driver,"Mohali, Punjab",Driving,Full-time
Redefine Consulting Services,Sales Support Executive - Mohali,"Mohali, Punjab","Communication skills,Sales,Microsoft Powerpoint,Organizational skills,Bachelor's degree",Full-time
CBD India Private Limited,BPO Associate (International Voice Process),"Mohali, Punjab","Customer service,Customer support,Communication skills,Bachelor's degree",Full-time
ITE YONIK SERVICES,Sales and Support,"Mohali, Punjab","Lead generation,Communication skills,Negotiation,Microsoft Office",Full-time | New-Grad
Habile Outsource Business Services Solutions,Sales Executive,"Dera Bassi, Punjab",,Full-time
Webchefz Infotech (P) Ltd.,Graphic Designer,"Mohali, Punjab","Adobe Photoshop,Figma,Communication skills,Adobe Illustrator,Adobe XD,12th Pass",Full-time
Sidham group of hotels,Kitchen helper,"Zirakpur, Punjab",,Full-time
IndeedSEO,PPC Expert (Experience - 1yr To 5yr) Mohali,"Mohali, Punjab","Communication skills,Google AdWords,Data analysis skills,Google Analytics",Full-time
Maple Hill Outsourcing services,Office Administrator,"Mohali, Punjab",Communication skills,Full-time | New-Grad
Nkrafterz.inc,SEO Executive,"Mohali, Punjab","SEO,PPC Campaign Management,Bachelor's degree",Full-time
THE BEGINNING OF NEW START,Office Coordinator,"Mohali, Punjab",,Full-time
Tech Mahindra,Production & Application Support,"Chandigarh, Chandigarh","UNIX,SQL,Microsoft Excel,Bachelor's degree",Full-time
JPR Sapphire Industries Pvt. Ltd.,PA to MD,"Chandigarh, Chandigarh","Communication skills,Bachelor's degree",Full-time
Spiderweb technologies,Social Media Executive,"Mohali, Punjab","Social media management,Social media strategy,Marketing,Social media marketing,Bachelor's degree",Full-time
IndeedSEO,Project Coordinator IT ( Experience -1+yr),"Mohali, Punjab","Project management,Jira,Scrum,Project coordination,Communication skills,M.C.A.,B.Sc,Bachelor's degree,Master's degree",Full-time
Maple Hill Outsourcing services,Appointment Setters,"Mohali, Punjab","Communication skills,Customer service",Full-time
Skyward visa,IELTS Trainer,"Mohali, Punjab",Bachelor's degree,Full-time
Miracle Services,Purchase Officer,"Dera Bassi, Punjab",,Full-time
Mahindra First Choice Wheels Ltd,Used Cars Sales Person,"Morinda, Punjab","Communication skills,Customer service,Negotiation,Sales,Bachelor's degree,12th Pass",Full-time
ilex Softhub,Data Entry Operator,"Mohali, Punjab","Data entry,Microsoft Office,Bachelor's degree",NA
Studio Memory Lane,Public Relations Officer,"Chandigarh, Chandigarh",Driving,Full-time
Aashirwad Eye and ENT Care Centre,Receptionist,"Zirakpur, Punjab",,Full-time
Whizamet Services Pvt. Ltd.,Social Media Marketing Executive- 2+ yrs,"Mohali, Punjab","Social media management,Project management,Social media marketing,Digital marketing,Communication skills,Master's degree",Full-time
SolarMaxx,Solar Designer (Electrical),"Jaipur, Rajasthan","Project management,AutoCAD,Bachelor's degree",Full-time
Mocaup Global Pvt. LTD,Sales and Marketing Executive,"Jaipur, Rajasthan",Bachelor's degree,Full-time
GNP FINANCE,Tele Caller Executive,"Jaipur, Rajasthan",,Full-time
Namratha Tiffin Centre,Indian Cook,"Jaipur, Rajasthan",,Full-time
Shivani Creation Pvt Ltd,Computer Operator cum Office Assistant,"Jaipur, Rajasthan","Microsoft Excel,Data entry,Microsoft Office,Microsoft Word,Bachelor's degree",Full-time
CSP DIGITAL CENTRE,Telesales Agent,"Jaipur, Rajasthan","Field sales,12th Pass",Full-time | New-Grad
Knack Global,Voice Process (UK Shift),"Jaipur, Rajasthan",,Full-time
RAWAL RESIDENCY - SERVICE APARTMENT,Housekeeper,"Jaipur, Rajasthan","Housekeeping management,Cleaning",Full-time
Lovable Lingerie Ltd,Sales Executive Rajasthan,"Jaipur, Rajasthan","Lead generation,Sales,Business development,Bachelor's degree",Full-time
"Zschool Tutorials, Patrakar Colony",Chemistry Teacher,"Jaipur, Rajasthan",12th Pass,Part-time
Vinayak Manutrade Pvt Ltd,Blowing Machine Operator,"Jaipur, Rajasthan",,Full-time
VDSM PRIVATE LIMITED,Sales Representative,"Jaipur, Rajasthan","Retail sales,Inside sales,Sales,Bachelor's degree",Full-time
PACKPERFECT PRIVATE LIMITED,Sales Executive,"Jaipur, Rajasthan","CRM software,Lead generation,Communication skills,Negotiation,Sales,Bachelor's degree,Diploma",Full-time
RAJASTHAN ISPAT UDYOG,Account Executive,"Jaipur, Rajasthan","Tax experience,Tally,Organizational skills,Bachelor's degree",Full-time
Applicators India,Executive Sales,"Jaipur, Rajasthan","Lead generation,Sales,Business development,Bachelor's degree",Full-time
Anubhav Montessori,Preschool Teacher,"Jaipur, Rajasthan",Bachelor's degree,Full-time | New-Grad
Vastu Housing Finance Corporation,Relationship Officer,"Jaipur, Rajasthan",,NA
Jobingo HR Solutions,Executive Assistant,"Jaipur, Rajasthan","Word processing,Personal assistant experience,Microsoft Office,Administrative experience,Bachelor's degree,12th Pass,Master's degree,M.B.A.",Full-time
JOVI VENTURES PVT LTD,Photographer,"Jaipur, Rajasthan",,Full-time
ALLURING ELECTRICALS & LIGHTS EMPO,Retail Sales Assistant,"Jaipur, Rajasthan",,Full-time
EIVRI INDIA,back office,"Jaipur, Rajasthan",12th Pass,Full-time
Creatik IT solutions LLP,Real Estate Salesperson,"Jaipur, Rajasthan","Communication skills,Sales",Full-time | Part-time
RUHAN NETWORK PRIVATE LIMITED,Sales Associate,"Jaipur, Rajasthan","Customer service,Microsoft Excel,Sales,Microsoft Powerpoint,CRM software,Bachelor's degree,12th Pass",Full-time
Purple Heron Hospitals,General duty assistant (GDA),"Jaipur, Rajasthan",,Full-time
Kanexy,Female Anchor,"Hyderabad, Telangana","Administrative experience,Bachelor's degree",Full-time
Cipaca healthcare,Inside Sales Executive,"Chennai, Tamil Nadu","Analysis skills,Customer service,Sales,Communication skills,Inside sales,B.B.A.,Bachelor's degree,Master's degree,M.B.A.",Full-time
Larsen & Toubro Limited,Subject Matter Expert - Electric Vehicle (Electrical),"Chennai, Tamil Nadu","PCB,Communication skills,Business development,Master's degree,Doctoral degree",NA
Mindclick technologies,Customer Service Representative,"Bengaluru, Karnataka","Banking,Go,Marketing,Bachelor's degree,12th Pass",Full-time
Acetech Precision Engineering,Wanted CNC setter,"Coimbatore, Tamil Nadu","CNC,Diploma",Full-time
Sunshine Manpower Solution And Services,Sales - Building Construction Material,"Ahmedabad, Gujarat","Bachelor's degree,Diploma",NA
Brise Chemicals pvt ltd,AutoCAD Designer,"Pune, Maharashtra",AutoCAD,Full-time | New-Grad
ITLPro Solutions,Fresher Associate,"Pune, Maharashtra",,New-Grad
Das Computer Centre,Western Fashion Influencer,"Kolkata, West Bengal",Communication skills,Full-time | Internship | New-Grad
Starworth Global,Hospital billing ( UB04),"Hyderabad, Telangana",,Full-time
HDFC Bank,SL Initiative-Credit Officer (230_1032_100145),"Hyderabad, Telangana","Communication skills,Sales,Bachelor's degree,Master's degree",Full-time
Pasta street India pvt ltd,F&B Executive,"Bengaluru, Karnataka","Communication skills,Phone etiquette",Full-time
AccorHotel,Guest Service Associate- F&B,"Jaipur, Rajasthan","Communication skills,Customer service,Diploma",Full-time
pinkcityexports,E-Commerce Executive,"Jaipur, Rajasthan","E-Commerce,Data entry",Full-time
world gems jewelry,Digital Marketing Intern,"Jaipur, Rajasthan",,Full-time
Acuity Knowledge Partners,Associates – Investment Banking,"Gurgaon, Haryana","Financial modeling,Communication skills,Investment banking,Microsoft Excel,Bloomberg,Master's degree,M.B.A.",NA
Novacare Healthcare Solutions Pvt Ltd,Accounts Assistant,"Gurgaon, Haryana",Tally,Full-time
Famepilot Internet Pvt Ltd,Chief Technology Officer,"Gurgaon, Haryana","React,Software deployment,REST,SQL,Microservices",Full-time
DEWII,Operation Coordinator,"Gurgaon, Haryana","Communication skills,Microsoft Excel,Bachelor's degree,Master's degree",NA
Spectalent Pvt Ltd,Host/Hostess,"Chennai, Tamil Nadu","Serving,Communication skills,Organizational skills,Restaurant experience,12th Pass",Full-time
KRChoksey,Equity Dealer,"Mumbai, Maharashtra",Analysis skills,Full-time
Capital Street fx,SEO Executive,"Gurgaon, Haryana","Web development,Analysis skills,CSS,SEO,Keyword research,Bachelor's degree",Full-time
Upriver Ecommerce,Performance Marketing Associate – Amazon,"Gurgaon, Haryana","Analysis skills,Communication skills,Microsoft Excel,Keyword research,Typing,Master's degree,M.B.A.",NA
Lovely Way Education Consultant,Telecaller,"Mohali, Punjab",,Full-time
MAGILCHI PROPERTYS,Marketing executive,"Coimbatore, Tamil Nadu",Bachelor's degree,Full-time
Leom International,visa filling officer,"Zirakpur, Punjab",Customer service,Full-time
WorksDelight,UI/UX Designer,"Mohali, Punjab","Adobe Photoshop,Diploma",Full-time
Kroll,Corporate Counsel I,"Mumbai, Maharashtra","Analysis skills,Communication skills,Legal research",NA
Onesource Atreus,Netflix is hiring,"Mumbai, Maharashtra","Communication skills,Customer service,Bachelor's degree",Full-time
BIANCA HOME LLP,Data Entry Operator,"Mumbai, Maharashtra","Communication skills,Microsoft Excel,Data entry",Full-time
Disney,Counsel,"Mumbai, Maharashtra",Banking,NA
ACEA Global,PTE & IELTS Trainer,"Panchkula, Haryana","Bachelor's degree,Diploma",Full-time
Destm Technologies,System Architect,"Mohali, Punjab","React,Design patterns,System architecture,Adobe Experience Manager,Node.js,Bachelor's degree",Full-time
DEFINE OVERSEAS IMMIGRATION,IELTS Trainer,"Kharar, Punjab","Microsoft Excel,Teaching experience,Microsoft Powerpoint,Microsoft Office,Microsoft Word",Full-time
Pacavo Logistics,Freight Broker,"Mohali, Punjab",,Full-time
NBHEALTHCARE,Graphic Designer (COREL DRAW),"Mohali, Punjab","Human resources,CorelDraw",Full-time
TOUR D WORLD,Visa Filing Officer,"Chandigarh, Chandigarh",,Full-time
Sushima Pharmaceuticals Pvt. Ltd.,Medical Sales Representative (Veterinary),Punjab,"Communication skills,Driving,B.Sc,Bachelor's degree,Diploma,Master's degree",Full-time
Machmiles,Travel Executive,"Mohali, Punjab",,Full-time
Amicron Soft Solutions Pvt Ltd,Graphic & Web Designer,"Mohali, Punjab","Adobe Photoshop,HTML5,CorelDraw,Bachelor's degree",Full-time
P.P. Jewellers,Public Relations Executive,"Chandigarh, Chandigarh",Bachelor's degree,Full-time
SKYBIRD INTERNATIONAL,FEMALE CONTENT WRITER,"Mohali, Punjab",,Full-time
Jupiter Aqua Lines Ltd,Customer Care Executive,"Mohali, Punjab","Technical support,Communication skills,Customer service,Bachelor's degree,12th Pass",Full-time | New-Grad
GyanDhan,Education Loan Counselor,"Chandigarh, Chandigarh",Analysis skills,Full-time
VATAVE HEALTHCARE,Pharma PCD & Third Party Manufacturing Executive,"Panchkula, Haryana","Manufacturing,Lead generation,Marketing,Bachelor's degree",Full-time
The Vibrant Future,IELTS Trainer,"Panchkula, Haryana","Teaching experience,Bachelor's degree",Part-time
Tech striker,Data Entry Operator/Computer Operator,"Mohali, Punjab","Data entry,Typing,Diploma",Full-time
