companyName,title,min_years,max_years,location,work_from_home,femaleCandidate,differentlyAbled,exDefence
Kaizen SRA Tech pvt ltd,Kaizen Technologies - Actimize Developer - CMMI Process Framework (5-8 yrs),5,8,Hyderabad,0,0,0,0
IDMWORKS IT SOLUTIONS GLOBAL PRIVATE LIMITED,IDMWORKS - SailPoint Developer/Architect - IIQ/Integration (4-15 yrs),4,15,Pune,0,0,0,0
Algoleap Technologies,Algoleap Technologies - Senior Salesforce Developer - Force.com/Apex (6-30 yrs),6,30,Hyderabad,0,0,0,0
Finxera,Cloud Engineer - Linux System Administration (2-8 yrs),2,8,Chandigarh,0,0,0,0
MNR,ServiceNow Architect - Integration & Implementation (5-8 yrs),5,8,"Bangalore,Chennai,Pune,Noida,Hyderabad",0,0,0,0
HuQuo Consulting Pvt. Ltd.,Duck Creek Policy Developer (4-10 yrs),4,10,"Pune,Bangalore,Noida,Gurgaon/Gurugram",0,0,0,0
AOS,Project Manager - Information Technology (1-14 yrs),1,14,"Andhra Pradesh,Tamil Nadu,Vishakhapatnam/Vizag,Vijayawada,Chennai,Madurai,Coimbatore",0,0,0,0
Pace Wisdom,Pace Wisdom - Python Lead - Flask/Django (5-8 yrs),5,8,"Anywhere in India/Multiple Locations,Bangalore",0,0,0,0
U-SET,Java Full Stack Engineer - AngularJS/Microservices Architecture (5-12 yrs),5,12,"Pune,Mumbai,Bangalore,Chennai,Hyderabad,Kolkata",0,0,0,0
Bombay softwares,Bombay Softwares - Technical Team Lead - Node.js/Python (5-10 yrs),5,10,"Ahmedabad,Navi Mumbai",0,0,0,0
Careator Technologies Pvt Ltd,Java Backend Developer - Spring Boot/Microservices Architecture (5-11 yrs),5,11,"Hyderabad,Others",0,0,0,0
Acumont Solution Pvt Ltd,Software Engineer - Python/Node.js (3-8 yrs),3,8,"Noida,Greater Noida,Delhi NCR,Delhi",0,0,0,0
GKM IT,GKM IT - Frontend Engineer - React.js/Javascript (2-3 yrs),2,3,Udaipur,0,0,0,0
Cosmo Infrasolutions,Senior Frontend Developer - HTML5/CSS3/Javascript (10-14 yrs),10,14,Bangalore,0,0,0,0
Angel and Genie,Wordpress Developer - Website Architecture (2-5 yrs),2,5,Punjab,0,0,0,0
Valuecoders India LLP,Valuecoders - Frontend Developer - React.js/AngularJS (4-10 yrs),4,10,"Delhi NCR,Gurgaon/Gurugram,Noida",0,0,0,0
Brainvire Infotech,Senior Magento Developer (1-11 yrs),1,11,Anywhere in India/Multiple Locations,1,1,0,0
Medline India,Medline - Senior DevOps Engineer - Azure/Docker (7-10 yrs),7,10,Pune,0,0,0,0
Vervenest Technologies Private Limited,Process Mining Engineer - Celonis/Signavio (6-8 yrs),6,8,Bangalore,0,0,0,0
HuQuo Consulting Pvt. Ltd.,Technical Lead - Duck Creek Claims (4-10 yrs),4,10,"Pune,Bangalore,Noida,Gurgaon/Gurugram",0,0,0,0
Nextgen Healthcare,Nextgen Healthcare - Staff Engineer - DevOps (8-12 yrs),8,12,Anywhere in India/Multiple Locations,1,0,0,0
NetEnrich,Netenrich - System Administrator - Active Directory/VPN (2-5 yrs),2,5,Hyderabad,0,0,0,0
Huquo,Duck Creek Billing Architect - Insurance Domain (7-15 yrs),7,15,"Bangalore,Pune,Gurgaon/Gurugram,Noida",0,0,0,0
NLB Services,Node.js Developer - Express.js (1-2 yrs),1,2,Pune,1,1,1,1
Workeagle,Java Full Stack Developer - Frontend & Backend Programming (5-8 yrs),5,8,Bangalore,0,0,0,0
Axtria India Pvt. Ltd.,Axtria - Technical Architect - Python/Django (10-15 yrs),10,15,"Bangalore,Gurgaon/Gurugram,Noida",0,0,0,0
Evoke HR solution Pvt Ltd,ASP/.Net Core Developer - C#/SQL Server (3-5 yrs),3,5,"Mumbai,Navi Mumbai",0,0,0,0
Globalemployees.com,PHP Full Stack Developer - Javascript/jQuery (6-12 yrs),6,12,Hyderabad,0,0,0,0
Tringapps Research Labs Pvt Ltd,Tringapps - Frontend Developer - React.js (3-9 yrs),3,9,"Chennai,Coimbatore",0,0,0,0
DHANI,Dhani - Senior Frontend Engineer - Javascript/React.js (2-6 yrs),2,6,Bangalore,0,0,0,0
Centific,PHP Developer - Laravel/jQuery (3-6 yrs),3,6,"Hyderabad,Bangalore",0,0,0,0
Digilantern,Digilantern - AngularJS Developer - Node.js/Javascript (1-5 yrs),1,5,Noida,0,0,0,0
Yo HR Consultancy,Angular Developer - User Interface Development (4-6 yrs),4,6,Mumbai,0,0,0,0
Six Cardinals,Angular Developer - Javascript (6-13 yrs),6,13,Nagpur,0,0,0,0
Cloud Odyssey,Cloud Odyssey - Senior Salesforce Developer - Sales Cloud/Lightning Design System (4-10 yrs),4,10,"Bangalore,Hyderabad",0,0,0,0
Codersbrain India Private Limited,Delphi Developer - C/C++ Programming (6-8 yrs),6,8,Anywhere in India/Multiple Locations,1,0,0,0
Kiash solutions,Server Administrator - Load Balancing Tools (3-5 yrs),3,5,Vadodara/Baroda,0,0,0,0
Sourceone Staffing & Consulting Pvt Ltd,Azure DevOps Engineer - CI/CD Pipeline (5-10 yrs),5,10,Hyderabad,0,0,0,0
Algoleap Technologies,Algoleap Technologies - Azure/DevOps Engineer - Python/Cloud (5-12 yrs),5,12,Hyderabad,0,0,0,0
Benchire,DevOps Consultant - Google Cloud Platform (4-8 yrs),4,8,"Bangalore,Delhi NCR",0,0,0,0
Talent-Max Consultant,.Net Developer - MVC Entity Framework (3-12 yrs),3,12,"Mumbai,Bangalore,Others",0,0,0,0
mea platforms technologies private limited,Mea Platform - Technical Lead - React.js/Node.js (6-11 yrs),6,11,Anywhere in India/Multiple Locations,0,0,0,0
Career Makers,R&D/Architect - Biometric Expert - Image Processing/Pattern Recognition (8-12 yrs),8,12,Bangalore,0,0,0,0
Career Makers,Senior Software Engineer - Java/Python/Django (9-12 yrs),9,12,Bangalore,0,0,0,0
Alpha Consultants,Full Stack Developer - .Net (6-8 yrs),6,8,"Noida,Chandigarh",0,0,0,0
Outplay,Frontend Engineer - Angular 2+/HTML/CSS (2-4 yrs),2,4,Hyderabad,0,0,0,0
Marktine Technology Solutions,React.js Developer - Frontend Architecture (3-6 yrs),3,6,Jaipur,0,0,0,0
Logicladder Technologies,Frontend Engineer - AngularJS/Javascript (3-6 yrs),3,6,Gurgaon/Gurugram,0,0,0,0
Purple bridge innovations pvt ltd,React.js Lead - HTML/CSS/ECMAScript (5-8 yrs),5,8,Mumbai,0,0,0,0
Msys Inc,UI Developer - Javascript/jQuery (5-8 yrs),5,8,Anywhere in India/Multiple Locations,0,0,0,0
People Resources,Frontend Developer - React.js/Javascript (7-15 yrs),7,15,Bangalore,0,0,0,0
Huquo,Duck Creek Policy Architect - On-Premises/Data Modeling (8-16 yrs),8,16,"Noida,Gurgaon/Gurugram,Pune,Bangalore",0,0,0,0
Huquo,Technical Lead - Duck Creek (8-15 yrs),8,15,"Pune,Mumbai,Noida,Gurgaon/Gurugram",0,0,0,0
TalentXO,L1 Developer - Signal Processing (4-10 yrs),4,10,Bangalore,0,0,0,0
Benchire,L2 Technical Support Engineer - On-Premises/Cloud (3-7 yrs),3,7,"Bangalore,Mumbai",0,0,0,0
MNR,Security Operations Analyst - Antivirus Management (5-14 yrs),5,14,Kolkata,0,0,0,0
Aliqan Services Private Limited,Technical Java Lead - Spring Boot Framework (10-12 yrs),10,12,Anywhere in India/Multiple Locations,1,0,0,0
Consulting,Software Development Manager - Java/J2EE/Spring (15-25 yrs),15,25,"MP,Others",0,0,0,0
Career Makers,Team Lead/Project Lead - Java/Scala/Node.js (4-8 yrs),4,8,Bangalore,0,0,0,0
Brainvire Infotech,Brainvire Infotech - Senior Software Engineer - Shopify (3-8 yrs),3,8,Ahmedabad,0,0,0,0
Skyleaf consultants,Unity Developer - Game Architecture (6-15 yrs),6,15,Gurgaon/Gurugram,0,0,0,0
Netxd software india private limited,NetXD - Senior Developer - Web Applications (4-8 yrs),4,8,Chennai,0,0,0,0
Antal International,Frontend Engineer - Javascript/TypeScript (2-5 yrs),2,5,Bangalore,0,0,0,0
Times Professional Learning,TimesPro - Frontend Lead - React.js/Redux (6-12 yrs),6,12,"Noida,Mumbai",0,0,0,0
Freelance,Angular Developer - HTML5/CSS3 (3-10 yrs),3,10,Mumbai,0,0,0,0
Cloud Counselage Pvt. Ltd.,Frontend Developer - React.js/Javascript (2-10 yrs),2,10,"Mumbai,Navi Mumbai",0,0,0,0
i2k2 Network Pvt Ltd,i2k2 - Linux Administrator - Shell Scripting (3-7 yrs),3,7,"Noida,Greater Noida",0,0,0,0
Strategic Talent Partner,Site Reliability Engineer - AWS/Terraform (5-10 yrs),5,10,Bangalore,0,0,0,0
Algoleap Techniologies Pvt. LTD.,Algoleap Technologies - Database Administrator - AWS/PostgreSQL (7-15 yrs),7,15,Hyderabad,0,0,0,0
Change leaders,Oracle Database Administrator - Windows Applications (5-8 yrs),5,8,Anywhere in India/Multiple Locations,0,0,0,0
i2k2 Network Pvt Ltd,i2k2 - Solution Architect - AWS/Presales (1-4 yrs),1,4,"Noida,Greater Noida",0,0,0,0
Cheq Digital Private Limited,CheQ - Senior/Lead DevOps Engineer - CI/CD Pipeline (6-10 yrs),6,10,Bangalore,0,0,0,0
Career Makers,SoC Architect - Library/SoC Verification (10-15 yrs),10,15,Bangalore,0,0,0,0
